# Number of traces
8985
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
12; 0; 20; 7.5706957473789693e-01; 9.2042107481736746e-01; 7.1575364390421514e-01; 4.3040076405691097e-01; 2.6619790598464871e-01; 6.4224890469096119e-01
13; 0; 22; 7.9738052179470575e-01; 4.8366834054361973e-01; 3.5260934781750486e-01; 7.1372514142270072e-01; 9.8538345286582174e-02; 1.7727633068637966e-01
14; 0; 23; 5.9208647757478083e-01; 1.7051903799736964e-01; 3.7690137938038809e-01; 9.7827791996053926e-01; 4.5416714250204632e-01; 1.1151029967997406e-01
15; 0; 25; 7.3801849727447011e-01; 8.8822705833540150e-01; 7.1575364390421525e-01; 6.1400786517880068e-01; 2.5394355637029875e-01; 4.1026151062911947e-01
16; 0; 26; 4.1214775570512041e-01; 3.3754492262866787e-01; 7.1575364390421525e-01; 1.2167662632580094e+00; 1.0578259344637146e+00; 2.5582791889830980e-01
17; 0; 27; 6.2399363593143753e-01; 2.7095336560096206e-01; 4.1035865958343409e-01; 5.4791543509131824e-01; 1.9665762037848158e-01; 4.4939187070681952e-01
18; 0; 28; 4.2260710331222451e-01; 3.5521995491490793e-01; 7.1575364390421525e-01; 7.9451118965859713e-01; 1.4362359683984474e-01; 1.1151029967997406e-01
19; 0; 30; 5.7403650178584775e-01; 6.1111732133279595e-01; 7.1575364390421525e-01; 1.0475053817602298e+00; 5.9617088837425936e-01; 1.2950498735934890e-01
20; 0; 34; 7.3629201080148643e-01; 1.0346418874015736e-01; 1.5338951415290192e-01; 6.7937235502902693e-01; 1.1886689283009931e-01; 2.3365377219778852e-01
21; 0; 36; 7.5277619156484943e-01; 5.6081350219676562e-01; 4.6231440723778483e-01; 7.4468804137430189e-01; 8.0215791286502358e-02; 1.2646213875909990e-01
22; 0; 38; 1.0681508547930543e+00; 1.1792310457582953e+00; 5.2379290312599913e-01; 7.6148085806529364e-01; 9.2787561004885077e-01; 7.1575364390421514e-01
23; 0; 40; 8.3665327654060961e-01; 5.3154888978243164e-01; 3.3931302240246652e-01; 6.4789227538993788e-01; 1.3749549221890406e-01; 2.8531672402617525e-01
24; 0; 41; 4.6290854937686277e-01; 3.5327508470205626e-01; 6.6536862390274687e-01; 4.9502299103976782e-01; 2.2795716479601322e-01; 5.3619532928917402e-01
25; 0; 42; 7.2578956895742885e-01; 8.6756164869904784e-01; 7.1575364390421514e-01; 9.8842882855904834e-01; 8.8928076430958147e-01; 4.1213959584631771e-01
26; 0; 45; 4.9858674151224280e-01; 4.8361635292447502e-01; 7.1575364390421536e-01; 4.6073800030592726e-01; 2.6331944010692565e-01; 6.0330379519617283e-01
27; 0; 46; 6.7321281126453647e-01; 3.6549069272237500e-01; 4.1853172506897729e-01; 4.5921008186873075e-01; 4.1707456115434194e-01; 7.1575364390421514e-01
