# FractureId; NumTraces
0; 6
# TraceId; Tips; Length
225; 0; 0.61228
72; 0; 0.148288
296; 1; 0.950346
286; 1; 0.739416
294; 1; 0.603987
292; 1; 0.578455
293; 1; 0.573497
295; 1; 0.572264
258; 1; 0.55575
283; 1; 0.528257
210; 1; 0.478166
15; 1; 0.463852
157; 1; 0.46053
284; 1; 0.379819
287; 1; 0.3535
285; 1; 0.268816
288; 1; 0.201834
291; 1; 0.154718
89; 1; 0.145467
282; 1; 0.134572
290; 1; 0.11346
289; 1; 0.108476

# FractureId; NumTraces
19; 13
# TraceId; Tips; Length
300; 0; 0.712824
282; 0; 0.134572
272; 1; 0.720963
259; 1; 0.620357
304; 1; 0.518498
303; 1; 0.411376
299; 1; 0.40979
16; 1; 0.38493
301; 1; 0.378385
298; 1; 0.372507
302; 1; 0.27274
211; 1; 0.0938682
297; 1; 0.0284126

# FractureId; NumTraces
20; 5
# TraceId; Tips; Length
305; 1; 0.598354
307; 1; 0.592491
130; 1; 0.258797
306; 1; 0.128896
180; 1; 0.10297

# FractureId; NumTraces
21; 32
# TraceId; Tips; Length
158; 0; 0.893442
226; 0; 0.882485
316; 0; 0.414447
323; 0; 0.185607
181; 0; 0.104774
309; 1; 0.962377
327; 1; 0.70978
244; 1; 0.69768
212; 1; 0.617648
314; 1; 0.617473
319; 1; 0.616958
326; 1; 0.608965
283; 1; 0.528257
260; 1; 0.520305
312; 1; 0.459922
324; 1; 0.450271
310; 1; 0.410959
317; 1; 0.398897
313; 1; 0.381254
112; 1; 0.339044
322; 1; 0.323228
321; 1; 0.320001
198; 1; 0.281812
139; 1; 0.229489
320; 1; 0.209816
325; 1; 0.200347
315; 1; 0.187905
318; 1; 0.171104
308; 1; 0.168163
311; 1; 0.159963
90; 1; 0.150145
17; 1; 0.124477

# FractureId; NumTraces
22; 23
# TraceId; Tips; Length
113; 0; 0.994938
305; 0; 0.598354
335; 0; 0.095966
182; 1; 1.06488
332; 1; 0.863757
336; 1; 0.850158
328; 1; 0.618982
227; 1; 0.597253
331; 1; 0.497032
199; 1; 0.434595
3; 1; 0.421609
340; 1; 0.398503
338; 1; 0.360927
140; 1; 0.324481
43; 1; 0.316188
334; 1; 0.257451
330; 1; 0.234232
329; 1; 0.208885
308; 1; 0.168163
333; 1; 0.147838
337; 1; 0.1453
339; 1; 0.0950447
341; 1; 0.0551278

# FractureId; NumTraces
23; 28
# TraceId; Tips; Length
228; 0; 0.981312
309; 0; 0.962377
261; 0; 0.723743
346; 0; 0.209623
345; 1; 1.33003
343; 1; 0.954625
159; 1; 0.911808
352; 1; 0.882128
213; 1; 0.758164
355; 1; 0.746737
114; 1; 0.713875
356; 1; 0.685538
347; 1; 0.685262
348; 1; 0.654957
350; 1; 0.646757
328; 1; 0.618982
349; 1; 0.605822
183; 1; 0.603494
342; 1; 0.598072
353; 1; 0.596721
141; 1; 0.548249
245; 1; 0.438164
44; 1; 0.325971
200; 1; 0.314742
73; 1; 0.175006
354; 1; 0.124213
344; 1; 0.0798367
351; 1; 0.0182695

# FractureId; NumTraces
24; 20
# TraceId; Tips; Length
365; 0; 0.915947
310; 0; 0.410959
284; 0; 0.379819
246; 0; 0.370044
131; 0; 0.337679
229; 0; 0.291636
364; 0; 0.218688
360; 0; 0.208426
357; 0; 0.173277
342; 1; 0.598072
214; 1; 0.466897
160; 1; 0.417988
358; 1; 0.323207
363; 1; 0.253722
262; 1; 0.245866
361; 1; 0.234117
359; 1; 0.209223
45; 1; 0.206286
362; 1; 0.146231
297; 1; 0.0284126

# FractureId; NumTraces
25; 14
# TraceId; Tips; Length
18; 0; 0.303184
115; 0; 0.258465
367; 1; 0.847388
370; 1; 0.58669
371; 1; 0.50999
46; 1; 0.366372
366; 1; 0.323376
91; 1; 0.315924
368; 1; 0.301096
329; 1; 0.208885
311; 1; 0.159963
369; 1; 0.146775
273; 1; 0.122441
184; 1; 0.0354213

# FractureId; NumTraces
26; 11
# TraceId; Tips; Length
19; 0; 0.622641
373; 0; 0.467341
375; 0; 0.380097
92; 0; 0.318027
374; 0; 0.120463
142; 1; 0.390881
372; 1; 0.358493
47; 1; 0.28605
161; 1; 0.1883
74; 1; 0.142296
376; 1; 0.0779102

# FractureId; NumTraces
27; 31
# TraceId; Tips; Length
230; 0; 0.844132
185; 0; 0.288516
380; 0; 0.153648
343; 1; 0.954625
162; 1; 0.887776
383; 1; 0.762222
247; 1; 0.742073
378; 1; 0.719939
389; 1; 0.676169
385; 1; 0.668324
215; 1; 0.668257
48; 1; 0.648418
116; 1; 0.533363
263; 1; 0.50886
387; 1; 0.467701
312; 1; 0.459922
381; 1; 0.423603
390; 1; 0.373316
201; 1; 0.364822
386; 1; 0.331518
143; 1; 0.324723
285; 1; 0.268816
377; 1; 0.243764
330; 1; 0.234232
384; 1; 0.199032
357; 1; 0.173277
382; 1; 0.145193
379; 1; 0.129076
388; 1; 0.0992971
93; 1; 0.0674642
20; 1; 0.0322057

# FractureId; NumTraces
28; 19
# TraceId; Tips; Length
395; 0; 0.264487
248; 0; 0.15119
202; 0; 0.00653405
396; 1; 0.872018
286; 1; 0.739416
394; 1; 0.672552
163; 1; 0.609075
231; 1; 0.584907
392; 1; 0.40899
313; 1; 0.381254
298; 1; 0.372507
358; 1; 0.323207
21; 1; 0.279493
264; 1; 0.265881
377; 1; 0.243764
391; 1; 0.0886978
344; 1; 0.0798367
75; 1; 0.0600807
393; 1; 0.00653337

# FractureId; NumTraces
29; 30
# TraceId; Tips; Length
232; 0; 1.4946
404; 0; 0.787097
408; 1; 1.33761
345; 1; 1.33003
403; 1; 0.863714
406; 1; 0.827438
164; 1; 0.766905
117; 1; 0.736
378; 1; 0.719939
144; 1; 0.715352
216; 1; 0.678256
265; 1; 0.648696
76; 1; 0.630698
49; 1; 0.630459
314; 1; 0.617473
400; 1; 0.613485
402; 1; 0.537083
331; 1; 0.497032
186; 1; 0.455218
287; 1; 0.3535
401; 1; 0.31485
249; 1; 0.313197
397; 1; 0.286057
405; 1; 0.284133
203; 1; 0.15758
22; 1; 0.140048
94; 1; 0.100417
407; 1; 0.0922869
399; 1; 0.0821937
398; 1; 0.0426408

# FractureId; NumTraces
30; 13
# TraceId; Tips; Length
95; 0; 0.761283
409; 0; 0.705316
372; 0; 0.358493
410; 1; 0.663529
412; 1; 0.564173
274; 1; 0.514495
299; 1; 0.40979
411; 1; 0.358686
50; 1; 0.30679
414; 1; 0.293551
23; 1; 0.218024
413; 1; 0.112257
165; 1; 0.00879659

# FractureId; NumTraces
31; 6
# TraceId; Tips; Length
332; 0; 0.863757
415; 1; 0.591936
187; 1; 0.50627
132; 1; 0.350944
346; 1; 0.209623
118; 1; 0.00949059

# FractureId; NumTraces
32; 16
# TraceId; Tips; Length
233; 0; 0.356981
417; 0; 0.323321
420; 0; 0.204847
77; 1; 0.87742
418; 1; 0.834684
166; 1; 0.808993
266; 1; 0.750434
347; 1; 0.685262
416; 1; 0.670995
217; 1; 0.668773
419; 1; 0.300029
397; 1; 0.286057
288; 1; 0.201834
315; 1; 0.187905
379; 1; 0.129076
51; 1; 0.113237

# FractureId; NumTraces
33; 10
# TraceId; Tips; Length
416; 0; 0.670995
398; 0; 0.0426408
78; 1; 0.650834
422; 1; 0.422109
423; 1; 0.37215
421; 1; 0.359798
424; 1; 0.327838
234; 1; 0.302935
267; 1; 0.22092
218; 1; 0.0750592

# FractureId; NumTraces
34; 11
# TraceId; Tips; Length
96; 0; 0.80011
119; 0; 0.1137
24; 1; 0.903932
409; 1; 0.705316
426; 1; 0.548211
373; 1; 0.467341
366; 1; 0.323376
52; 1; 0.310627
427; 1; 0.131286
425; 1; 0.0965235
188; 1; 0.0299804

# FractureId; NumTraces
35; 19
# TraceId; Tips; Length
429; 0; 0.782067
53; 0; 0.648323
431; 0; 0.530016
120; 0; 0.217552
399; 0; 0.0821937
428; 0; 0.0623933
25; 1; 0.883688
367; 1; 0.847388
432; 1; 0.643036
433; 1; 0.577056
145; 1; 0.51062
79; 1; 0.421568
316; 1; 0.414447
167; 1; 0.378565
97; 1; 0.342566
189; 1; 0.244695
430; 1; 0.17932
380; 1; 0.153648
333; 1; 0.147838

# FractureId; NumTraces
36; 23
# TraceId; Tips; Length
235; 0; 1.03261
400; 0; 0.613485
359; 0; 0.209223
436; 0; 0.159621
438; 1; 1.01473
434; 1; 0.789498
348; 1; 0.654957
168; 1; 0.654631
54; 1; 0.598954
121; 1; 0.528036
146; 1; 0.475224
381; 1; 0.423603
317; 1; 0.398897
421; 1; 0.359798
417; 1; 0.323321
437; 1; 0.320295
435; 1; 0.320078
190; 1; 0.295313
80; 1; 0.293252
334; 1; 0.257451
26; 1; 0.144987
250; 1; 0.128021
289; 1; 0.108476

# FractureId; NumTraces
37; 17
# TraceId; Tips; Length
441; 0; 0.888742
236; 0; 0.885456
440; 0; 0.597626
401; 0; 0.31485
418; 1; 0.834684
434; 1; 0.789498
349; 1; 0.605822
219; 1; 0.600205
422; 1; 0.422109
81; 1; 0.408793
169; 1; 0.398301
268; 1; 0.393134
55; 1; 0.247699
318; 1; 0.171104
382; 1; 0.145193
439; 1; 0.116475
290; 1; 0.11346

# FractureId; NumTraces
38; 26
# TraceId; Tips; Length
415; 0; 0.591936
4; 0; 0.48119
291; 0; 0.154718
306; 0; 0.128896
442; 0; 0.108052
170; 0; 0.0495894
191; 1; 1.21885
204; 1; 1.06143
251; 1; 0.941574
383; 1; 0.762222
443; 1; 0.732536
237; 1; 0.656488
350; 1; 0.646757
319; 1; 0.616958
446; 1; 0.548221
402; 1; 0.537083
122; 1; 0.507972
445; 1; 0.440506
444; 1; 0.387914
56; 1; 0.353064
435; 1; 0.320078
360; 1; 0.208426
220; 1; 0.126365
439; 1; 0.116475
133; 1; 0.107497
391; 1; 0.0886978

# FractureId; NumTraces
39; 6
# TraceId; Tips; Length
5; 0; 0.609552
307; 0; 0.592491
192; 1; 0.127814
442; 1; 0.108052
335; 1; 0.095966
134; 1; 0.0788438

# FractureId; NumTraces
40; 26
# TraceId; Tips; Length
423; 0; 0.37215
